pT    ratio    stat.    sys.
1.25	1.45322	0.0976831	0.16279
1.75	1.64067	0.0616297	0.179157
2.25	1.75699	0.0413156	0.193129
2.75	1.80799	0.0435521	0.200938
3.25	1.80266	0.0580116	0.202911
3.75	1.67161	0.0788047	0.190632
4.25	1.79364	0.119271	0.207408
4.75	1.73311	0.138628	0.20742
5.25	2.07934	0.101555	0.253502
5.75	1.55255	0.109502	0.193319
6.25	1.68938	0.145216	0.217109
6.75	2.35973	0.229768	0.306141
7.25	1.77949	0.222055	0.26465
1.25	1.49892	0.0950589	0.168151
1.75	1.67999	0.0586074	0.183671
2.25	1.77192	0.0442798	0.195019
2.75	1.83024	0.0496416	0.203707
3.25	1.72831	0.0680347	0.194789
3.75	1.8098	0.101957	0.206607
4.25	1.86891	0.150207	0.216271
4.75	1.58644	0.158304	0.189871
5.25	1.88043	0.113126	0.229367
5.75	1.28844	0.113476	0.163571
6.25	1.95997	0.192921	0.250643
6.75	2.42223	0.293823	0.311582
7.25	1.74917	0.262398	0.257553
1.25	1.47774	0.0840766	0.165673
1.75	1.63555	0.0564026	0.178754
2.25	1.70005	0.0429918	0.187029
2.75	1.78299	0.056437	0.198385
3.25	1.6983	0.077905	0.191296
3.75	1.70386	0.113537	0.194491
4.25	1.69165	0.16835	0.195768
4.75	1.41885	0.171676	0.172272
5.25	1.87851	0.141064	0.229605
5.75	1.82016	0.179272	0.227912
6.25	1.52541	0.20042	0.204123
6.75	1.75867	0.279548	0.239757
7.25	2.05016	0.416361	0.4378
1.25	1.40481	0.0826886	0.15748
1.75	1.52346	0.0499559	0.16646
2.25	1.54515	0.0402371	0.170032
2.75	1.58059	0.0604469	0.175834
3.25	1.63914	0.0933405	0.184682
3.75	1.7479	0.136658	0.201385
4.25	1.23219	0.152686	0.144969
4.75	1.47071	0.245851	0.177009
5.25	2.16488	0.188918	0.263862
5.75	1.8278	0.213695	0.22946
6.25	1.843	0.284782	0.242002
6.75	2.21163	0.426547	0.30441
7.25	1.51947	0.457471	0.242549
